date,ice_area_of_responsability,atd_technology,family_unit-individual,number_under_atd,avg_days_in_program
04/23/2022,National,All,All,"227,508",421
04/09/2022,National,All,All,"216,450",439.2
03/26/2022,National,All,All,"200,332",468.7
03/12/2022,National,All,All,"191,988",484.7
02/26/2022,National,All,All,"182,607",497.4
02/12/2022,National,All,All,"182,607",497.4
01/15/2022,National,All,All,"164,391",539
01/01/2022,National,All,All,"157,761",555.1
12/18/2021,National,All,All,"150,755",572.1
12/04/2021,National,All,All,"145,463",589.7
11/20/2021,National,All,All,"140,254",603.7
10/28/2021,National,All,All,"136,026",615.1
09/16/2021,National,All,All,"124,999",655.4
09/13/2021,National,All,All,"96,574",837.8
08/24/2021,National,All,All,"117,682",703.9
08/06/2021,National,All,All,"112,256",735.4
07/22/2021,National,All,All,"107,795",761.7
07/08/2021,National,All,All,"106,080",774
06/24/2021,National,All,All,"103,933",788
06/11/2021,National,All,All,"100,363",810.8
05/28/2021,National,All,All,"89,115",882.6
05/13/2021,National,All,All,"96,574",837.8
05/03/2021,National,All,All,"95,160",847.8
04/14/2021,National,All,All,"93,733",858.6
03/31/2021,National,All,All,"92,166",867.2
03/17/2021,National,All,All,"90,630",877.1
02/25/2021,National,All,All,"88,308",880.4
02/11/2021,National,All,All,"87,439",878.7
01/22/2021,National,All,All,"86,860",874.8
01/07/2021,National,All,All,"86,565",869.3
12/30/2020,National,All,All,"86,369",860
12/10/2020,National,All,All,"85,882",855.2
11/26/2020,National,All,All,"85,628",847.7
11/14/2020,National,All,All,"85,413",840.5
09/18/2020,National,All,All,"85,857",801
09/04/2020,National,All,All,"86,053",789.5
08/21/2020,National,All,All,"86,705",745
09/30/2019,National,All,All,"83,186",352.2